Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2024-01-02,AAPL,187.15,188.44,183.89,185.64,185.15,82488700
2024-01-03,AAPL,184.22,185.88,183.43,184.25,183.76,58414500
2024-01-04,AAPL,182.15,183.09,180.88,181.91,181.43,71983600
2024-01-05,AAPL,181.99,182.76,180.17,181.18,180.70,62303300
2024-01-08,AAPL,182.09,185.60,181.50,185.56,185.07,59144500
2024-01-09,AAPL,183.92,185.15,182.73,185.14,184.65,42841800
2024-01-10,AAPL,184.35,186.40,183.92,186.19,185.70,46792900
2024-01-11,AAPL,186.54,187.05,183.62,185.59,185.10,49128400
2024-01-12,AAPL,186.06,186.74,185.19,185.92,185.43,40444700
2024-01-16,AAPL,182.16,184.26,180.93,183.63,183.14,65603000
2024-01-17,AAPL,181.27,182.90,180.30,182.68,182.20,47317400
2024-01-18,AAPL,186.09,189.14,185.83,188.63,188.13,78005800
2024-01-19,AAPL,189.33,191.95,188.82,191.56,191.05,68741000
2024-01-22,AAPL,192.30,195.33,192.26,193.89,193.38,60133900
2024-01-23,AAPL,195.02,195.75,193.67,195.18,194.67,42355600
2024-01-02,MSFT,373.86,375.90,366.77,370.87,369.80,25258600
2024-01-03,MSFT,369.01,373.26,368.51,370.60,369.53,23083500
2024-01-04,MSFT,370.67,373.87,370.51,367.94,366.88,20901500
2024-01-05,MSFT,368.97,372.14,366.50,367.75,366.69,20982400
2024-01-08,MSFT,369.30,375.20,369.01,374.69,373.61,23134000
2024-01-09,MSFT,372.01,375.99,371.19,375.79,374.70,20830000
2024-01-10,MSFT,376.37,384.17,376.32,382.77,381.66,25514200
2024-01-11,MSFT,386.00,390.68,380.38,384.63,383.52,27862000
2024-01-12,MSFT,385.49,388.68,384.65,388.47,387.35,21661200
2024-01-16,MSFT,393.17,394.03,387.62,390.27,389.14,27202300
2024-01-17,MSFT,387.98,390.11,384.81,389.47,388.35,22234100
2024-01-18,MSFT,390.55,393.99,390.12,393.87,392.73,23392100
2024-01-19,MSFT,395.76,398.67,393.50,398.67,397.52,29272000
2024-01-22,MSFT,400.02,400.62,393.59,396.51,395.36,27016600
2024-01-23,MSFT,395.75,399.38,393.93,398.90,397.75,20525900
2024-01-02,GOOGL,138.40,139.61,136.62,138.17,138.17,21297500
2024-01-03,GOOGL,137.33,140.00,136.85,138.89,138.89,19000800
2024-01-04,GOOGL,138.20,138.81,136.25,136.39,136.39,14977200
2024-01-05,GOOGL,135.58,136.27,134.33,135.73,135.73,14144500
2024-01-08,GOOGL,136.29,139.00,135.73,138.84,138.84,19860900
2024-01-09,GOOGL,138.50,141.49,138.45,141.12,141.12,19702200
2024-01-10,GOOGL,141.42,143.15,140.71,142.28,142.28,17711400
2024-01-11,GOOGL,143.49,145.22,142.27,143.67,143.67,17482100
2024-01-12,GOOGL,142.84,143.88,142.36,142.65,142.65,14981600
2024-01-16,GOOGL,141.80,143.50,140.78,142.49,142.49,20357600
2024-01-17,GOOGL,141.00,141.88,139.73,141.47,141.47,19277000
2024-01-18,GOOGL,141.65,145.58,141.55,145.46,145.46,24209900
2024-01-19,GOOGL,146.06,146.29,144.99,146.38,146.38,28448800
2024-01-22,GOOGL,146.85,148.68,145.88,146.51,146.51,21394900
2024-01-23,GOOGL,147.62,148.56,146.90,147.04,147.04,18017500
2024-01-02,TSLA,250.08,251.25,244.41,248.42,248.42,104654200
2024-01-03,TSLA,244.98,245.55,236.32,238.45,238.45,121082600
2024-01-04,TSLA,239.25,242.69,237.73,237.93,237.93,102627300
2024-01-05,TSLA,236.86,240.12,234.90,237.49,237.49,92379400
2024-01-08,TSLA,236.14,241.25,235.30,240.45,240.45,85166600
2024-01-09,TSLA,238.11,238.96,232.04,234.96,234.96,96705700
2024-01-10,TSLA,235.10,235.50,231.20,233.94,233.94,91628500
2024-01-11,TSLA,230.95,232.00,225.15,227.22,227.22,105873600
2024-01-12,TSLA,220.08,225.34,217.15,218.89,218.89,122828400
2024-01-16,TSLA,215.10,223.49,212.18,219.91,219.91,115355000
2024-01-17,TSLA,214.86,215.67,212.01,215.55,215.55,103164400
2024-01-18,TSLA,216.88,217.45,208.90,211.88,211.88,108595400
2024-01-19,TSLA,215.00,215.60,209.20,212.19,212.19,102077900
2024-01-22,TSLA,212.26,217.80,206.27,208.80,208.80,117952400
2024-01-23,TSLA,207.70,211.00,206.01,209.14,209.14,106686000
