Date,City,Country,Temperature,Temp_Min,Temp_Max,Humidity,Wind_Speed_kmh,Precipitation_mm,Weather_Condition
2025-01-01,Bandung,Indonesia,24.2,21.5,28.3,93,22.1,9.6,Rainy
2025-01-01,London,United Kingdom,5.2,1.2,8.6,83,13.9,0.6,Cloudy
2025-01-01,Surabaya,Indonesia,28.6,25.7,33.2,88,17.6,17.1,Thunderstorm
2025-01-01,Sydney,Australia,25.6,22.9,29.5,74,24.5,1.2,Windy
2025-01-01,Tokyo,Japan,5.1,2.5,8.8,64,22.2,1.5,Cloudy
2025-01-06,Bandung,Indonesia,24.1,20.4,29.3,79,14.1,0.1,Cloudy
2025-01-06,London,United Kingdom,4.2,1.0,8.1,98,30.7,3.2,Drizzle
2025-01-06,Surabaya,Indonesia,29.7,27.0,33.3,58,8.6,0.0,Sunny
2025-01-06,Sydney,Australia,25.3,21.6,28.7,68,14.9,0.9,Partly Cloudy
2025-01-06,Tokyo,Japan,5.2,1.6,10.6,58,12.2,0.0,Clear
2025-01-11,Bandung,Indonesia,22.4,19.4,25.9,95,19.9,23.8,Thunderstorm
2025-01-11,London,United Kingdom,3.3,-0.4,7.2,96,27.1,3.7,Drizzle
2025-01-11,Surabaya,Indonesia,32.1,28.7,35.8,62,14.7,0.0,Hot/Sunny
2025-01-11,Sydney,Australia,26.2,23.4,29.6,87,19.6,4.6,Rainy
2025-01-11,Tokyo,Japan,5.7,1.8,9.2,75,12.6,9.9,Rainy
2025-01-16,Bandung,Indonesia,23.3,20.3,27.9,96,21.1,16.6,Rainy
2025-01-16,London,United Kingdom,2.8,-1.0,7.3,93,22.8,4.4,Drizzle
2025-01-16,Surabaya,Indonesia,32.4,28.1,36.1,67,16.3,0.0,Hot/Sunny
2025-01-16,Sydney,Australia,26.0,22.4,29.0,78,26.7,0.0,Windy
2025-01-16,Tokyo,Japan,5.8,2.2,11.2,57,13.9,0.0,Sunny
2025-01-21,Bandung,Indonesia,24.9,22.2,29.1,98,14.6,27.4,Rainy
2025-01-21,London,United Kingdom,4.2,0.3,8.2,95,21.0,31.7,Rainy
2025-01-21,Surabaya,Indonesia,30.8,27.2,34.5,88,27.1,32.7,Thunderstorm
